類型,專頁,活動名稱,活動日期,活動地點,報名日期,報名狀態,服務學習,SDGs,多元學習護照時數,UCAN共通職能,ActID
線上報名,管理學院學士班,【管院職涯點數】敬邀參加【CPA CLUB 聽聞職場系列-區塊鏈及虛擬通貨】,2025.05.09(五) 下午 12:30 ~ 2025.05.09(五) 下午 02:00,R70101,2025.04.01(二) ~ 2025.05.06(二) 線上報名,已報名人數：108 名額限制：100 候補人數：10,無,04優質教育,無,無,14471
線上報名,全球事務處,【Only for International Students-Hands Together Project】High School Clubs Are Fun,2025.04.29(二) 上午 10:00 ~ 2025.04.29(二) 下午 04:00,大溪,2025.04.02(三) ~ 2025.04.18(五) 名額已滿,已報名人數：10 名額限制：10,5 學務課程(課程時數) Student Affair Course,99以上皆無相關,無,無,14470
線上報名,學務處,【113-2特讚工作坊–用影片行銷與說故事】(本篇限特讚隊隊員報名),2025.04.19(六) 上午 10:00 ~ 2025.04.19(六) 下午 05:00,社創基地,2025.04.01(二) ~ 2025.04.16(三) 報名已截止,已報名人數：14 名額限制：50 候補人數：0,6 學務課程(課程時數) Student Affair Course,04優質教育,6小時,"溝通表達,持續學習,人際互動,創新,資訊科技應用",14469
線上報名,學務處,【113-2特讚工作坊–用影片行銷與說故事】(可擇一認列服務/管院/社政/多元時數),2025.04.19(六) 上午 10:00 ~ 2025.04.19(六) 下午 05:00,社創基地,2025.04.01(二) ~ 2025.04.17(四) 報名已截止,已報名人數：12 名額限制：50 候補人數：0,6 學務課程(課程時數) Student Affair Course,04優質教育,6小時,"溝通表達,持續學習,人際互動,創新,資訊科技應用",14468
線上報名,學務處,【紓壓工作坊】皮革紓壓DIY,2025.05.02(五) 下午 01:00 ~ 2025.05.02(五) 下午 04:00,社會創新基地,2025.04.01(二) ~ 2025.04.25(五) 線上報名,已報名人數：27 名額限制：35 候補人數：0,無,99以上皆無相關,無,持續學習,14464
線上報名,人文社會學院,114/07/03(四) 08:30-17:00 元智大學2025人社營-元素養啟動！AI時代的人文超能力,2025.07.03(四) 上午 08:30 ~ 2025.07.03(四) 下午 05:00,元智大學 三館,2025.04.07(一) ~ 2025.05.05(一) 線上報名,已報名人數：6 名額限制：30,無,04優質教育,無,無,14463
線上報名,學務處,【健康促進講座】《突破自我：大學生的增肌減脂計畫，讓你既有力量又健康》,2025.04.30(三) 下午 12:00 ~ 2025.04.30(三) 下午 02:00,R70101,2025.04.01(二) ~ 2025.04.21(一) 名額已滿,已報名人數：70 名額限制：70,2 專業課程(課程時數) Professional Course,03健康與福祉,無,持續學習,14462
線上報名,學務處,5/1(四)陪你改寫生命劇本，看見心裡的光！──自殺防治工作坊,2025.05.01(四) 下午 06:00 ~ 2025.05.01(四) 下午 09:00,70102,2025.04.01(二) ~ 2025.04.27(日) 名額已滿,已報名人數：30 名額限制：30,3 專業課程(課程時數) Professional Course,99以上皆無相關,3小時,"溝通表達,持續學習,人際互動",14460
線上報名,工程學院英語學士班,工程英語學士班各領域之教學重點、發展目標及主修學程暨分流說明 Workshop for Your Professional Study Choice in IBPE (限工英學生),2025.04.22(二) 下午 12:10 ~ 2025.04.22(二) 下午 02:00,3214R,2025.03.31(一) ~ 2025.04.18(五) 線上報名,已報名人數：25 名額限制：50,2 專業課程(課程時數) Professional Course,04優質教育,無,持續學習,14459
線上報名,學務處,【性平講座】4/22（二）解構二元：認識性別光譜與多元性別,2025.04.22(二) 下午 06:00 ~ 2025.04.22(二) 下午 08:00,70101,2025.03.31(一) ~ 2025.04.17(四) 報名已截止,已報名人數：96 名額限制：90 候補人數：6,2 學務課程(課程時數) Student Affair Course,99以上皆無相關,2小時,"持續學習,人際互動",14457
線上報名,圖書資訊服務處,資通系統委外承辦人教育訓練,2025.04.21(一) 下午 01:10 ~ 2025.04.21(一) 下午 04:00,彥公廳,2025.03.31(一) ~ 2025.04.18(五) 線上報名,已報名人數：26 名額限制：80,無,"04優質教育,09工業化、創新及基礎建設",無,無,14453
線上報名,學務處,職涯特讚隊【113-2團隊培訓】 (限定持有多元護照者參加),2025.04.23(三) 下午 06:00 ~ 2025.04.23(三) 下午 08:00,R3306,2025.03.31(一) ~ 2025.04.21(一) 線上報名,已報名人數：19 名額限制：35 候補人數：0,無,04優質教育,2小時,"溝通表達,持續學習,人際互動,團隊合作,問題解決,工作責任及紀律",14450
線上報名,通識教學部,寰宇文化巡航活動(限參與者報名)-活動時數6小時,2025.03.03(一) 上午 12:00 ~ 2025.06.30(一) 上午 12:00,合作場域國小,2025.03.03(一) ~ 2025.06.30(一) 線上報名,已報名人數：0 名額限制：100,6 專業服務(活動時數) Professional Service,"04優質教育,10減少不平等",無,無,14449
線上報名,通識教學部,寰宇文化巡航活動(限參與者報名)-活動時數4小時,2025.03.03(一) 上午 12:00 ~ 2025.06.30(一) 上午 12:00,合作場域國小,2025.03.03(一) ~ 2025.06.30(一) 線上報名,已報名人數：0 名額限制：100,4 專業服務(活動時數) Professional Service,"04優質教育,10減少不平等",無,無,14448
線上報名,通識教學部,寰宇文化巡航活動(限參與者報名)-活動時數2小時,2025.03.03(一) 上午 12:00 ~ 2025.06.30(一) 上午 12:00,合作場域國小,2025.03.03(一) ~ 2025.06.30(一) 線上報名,已報名人數：0 名額限制：100,2 專業服務(活動時數) Professional Service,"04優質教育,10減少不平等",無,無,14447
線上報名,通識教學部,寰宇文化闖關活動(限參與者報名)-活動時數4小時,2025.03.29(六) 上午 12:00 ~ 2025.05.07(三) 上午 12:00,合作場域國小,2025.03.29(六) ~ 2025.05.03(六) 線上報名,已報名人數：5 名額限制：100,4 專業服務(活動時數) Professional Service,"04優質教育,10減少不平等",無,無,14446
線上報名,學務處,113-2健康飲食宣導系列活動-墨西哥捲餅DIY,2025.04.30(三) 下午 06:00 ~ 2025.04.30(三) 下午 08:00,活動中心一樓社創基地,2025.03.31(一) ~ 2025.04.18(五) 線上報名,已報名人數：49 名額限制：40 候補人數：10,無,03健康與福祉,無,無,14444
線上報名,教務處,雙主修申請說明會(如有時間會再說明輔系相關資訊),2025.04.23(三) 下午 12:30 ~ 2025.04.23(三) 下午 02:00,一館一樓R1101教室,2025.03.31(一) ~ 2025.04.14(一) 報名已截止,已報名人數：101 名額限制：60 候補人數：0,2 生涯就業(課程時數) Career Planning,99以上皆無相關,2小時,持續學習,14443
線上報名,電機工程學系,【電機甲】1132「心鮮人經營學」班級輔導活動（限電甲大一學生報名）,2025.05.08(四) 下午 12:00 ~ 2025.05.08(四) 下午 02:00,70206,2025.03.27(四) ~ 2025.03.27(四) 報名已截止,已報名人數：126 名額限制：130,2 大學適應(課程時數) University Adaption,99以上皆無相關,2小時,"溝通表達,人際互動",14430
線上報名,圖書館,愛永續：心靈深呼吸 工作坊,2025.05.07(三) 下午 12:00 ~ 2025.05.07(三) 下午 02:00,圖書館活力閱讀區,2025.03.28(五) ~ 2025.05.05(一) 線上報名,已報名人數：69 名額限制：36 候補人數：35,2 通識課程(課程時數) General Course,"03健康與福祉,04優質教育",無,持續學習,14428
線上報名,軍訓室,114年「畢業典禮舞台區貴賓接待」服務學習活動【邀請1~3年級同學參加（男、女或外籍同學皆可）】（本活動將核予多元或活動時數18小時，得任擇一）1,2025.04.17(四) 下午 06:30 ~ 2025.05.23(五) 下午 08:30,2004教室,2025.03.28(五) ~ 2025.04.16(三) 報名已截止,已報名人數：11 名額限制：40 候補人數：0,18 愛校服務(活動時數) Campus-loving Service,"04優質教育,05性別平權,09工業化、創新及基礎建設,11永續城鄉,12責任消費及生產,17多元夥伴關係",18小時,"溝通表達,持續學習,人際互動,團隊合作,問題解決,工作責任及紀律",14426
線上報名,永續發展暨社會責任中心,113-2 USR Lunch Talk Episode01：那些年，寰宇文化領航計畫走過的足跡,2025.05.14(三) 下午 12:10 ~ 2025.05.14(三) 下午 01:00,六館一樓 60105教室,2025.03.27(四) ~ 2025.05.11(日) 線上報名,已報名人數：124 名額限制：100 候補人數：27,1 專業知能(課程時數) Professional Knowledge,"04優質教育,10減少不平等,16和平、正義及健全制度",無,持續學習,14421
線上報名,圖書館,愛永續：點亮心情．一起環保手作「咖啡渣肌理畫」，星空與海洋風格主題，展現自然永續的美學概念！,2025.04.30(三) 下午 12:00 ~ 2025.04.30(三) 下午 02:00,圖書館活力閱讀區,2025.03.27(四) ~ 2025.04.05(六) 報名已截止,已報名人數：54 名額限制：30 候補人數：22,2 通識課程(課程時數) General Course,04優質教育,2小時,持續學習,14417
線上報名,資訊學院,【限資院】2025/05/02資院113-2雙語閱讀社團,2025.05.02(五) 下午 12:00 ~ 2025.05.02(五) 下午 01:00,1401A,2025.03.28(五) ~ 2025.04.29(二) 線上報名,已報名人數：16 名額限制：20 候補人數：0,無,99以上皆無相關,無,無,14401
線上報名,資訊學院,【限資院】2025/04/25資院113-2雙語閱讀社團,2025.04.25(五) 下午 12:00 ~ 2025.04.25(五) 下午 01:00,1401A,2025.03.28(五) ~ 2025.04.23(三) 線上報名,已報名人數：17 名額限制：20 候補人數：0,無,99以上皆無相關,無,無,14400
線上報名,軍訓室,113-2協助宿舍美化環境----歡迎多元護照學生報名請向確認後才報名，並登記來的時間),2025.04.19(六) 上午 08:00 ~ 2025.04.20(日) 下午 05:00,學生宿舍,2025.04.01(二) ~ 2025.04.17(四) 報名已截止,已報名人數：2 名額限制：5,無,04優質教育,無,團隊合作,14397
線上報名,資訊學院,"5/14資院EMI中心《看電影學英文》""Learn English with Movies""",2025.05.14(三) 下午 12:10 ~ 2025.05.14(三) 下午 01:00,1102,2025.03.03(一) ~ 2025.05.13(二) 線上報名,已報名人數：97 名額限制：80 候補人數：17,無,99以上皆無相關,無,無,14396
線上報名,資訊學院,"5/12資院EMI中心《看電影學英文》""Learn English with Movies""",2025.05.12(一) 下午 12:10 ~ 2025.05.12(一) 下午 01:00,1102,2025.03.03(一) ~ 2025.05.11(日) 線上報名,已報名人數：92 名額限制：80 候補人數：12,無,99以上皆無相關,無,無,14395
線上報名,軍訓室,113-2協助宿舍美化環境----歡迎多元護照學生報名請先確認後才報名，並登記來的時間),2025.04.26(六) 上午 08:00 ~ 2025.04.27(日) 下午 05:00,學生宿舍,2025.04.01(二) ~ 2025.04.17(四) 報名已截止,已報名人數：2 名額限制：5,無,04優質教育,無,"團隊合作,工作責任及紀律",14394
線上報名,資訊學院,"5/5資院EMI中心《看電影學英文》""Learn English with Movies""",2025.05.05(一) 下午 12:10 ~ 2025.05.05(一) 下午 01:00,1102,2025.03.03(一) ~ 2025.05.04(日) 線上報名,已報名人數：89 名額限制：80 候補人數：9,無,99以上皆無相關,無,無,14393
線上報名,資訊學院,"4/28資院EMI中心《看電影學英文》""Learn English with Movies""",2025.04.28(一) 下午 12:10 ~ 2025.04.28(一) 下午 01:00,1102,2025.03.03(一) ~ 2025.04.28(一) 線上報名,已報名人數：91 名額限制：80 候補人數：11,無,99以上皆無相關,無,無,14392
線上報名,資訊學院,"4/21資院EMI中心《看電影學英文》""Learn English with Movies""",2025.04.21(一) 下午 12:10 ~ 2025.04.21(一) 下午 01:00,1102,2025.03.03(一) ~ 2025.04.20(日) 線上報名,已報名人數：81 名額限制：80 候補人數：3,無,99以上皆無相關,無,無,14391
線上報名,管理學院財務金融暨會計碩士班,敬邀參加_ 5/15 (四) 13：10~16：00 管院財會碩產業專題講座：數據背後的故事 – 提升財務簡報的敘事力與說服力,2025.05.15(四) 下午 01:10 ~ 2025.05.15(四) 下午 04:00,R60210,2025.04.01(二) ~ 2025.05.14(三) 線上報名,已報名人數：1 名額限制：40,無,無,無,無,14384
線上報名,管理學院財務金融暨會計碩士班,敬邀參加_ 5/1 (四) 13：10~16：00 管院財會碩產業專題講座：財務簡報進化術 – 讓數據說話,2025.05.01(四) 下午 01:10 ~ 2025.05.01(四) 下午 04:00,R60210,2025.04.01(二) ~ 2025.04.30(三) 線上報名,已報名人數：1 名額限制：100,無,無,無,無,14383
線上報名,體育室,113學年元智大學籃球裁判研習營,2025.04.19(六) 上午 09:00 ~ 2025.04.19(六) 下午 05:00,元智大學體育館及70108教室,2025.03.26(三) ~ 2025.04.19(六) 線上報名,已報名人數：52 名額限制：70,8 專業課程(課程時數) Professional Course,99以上皆無相關,無,無,14382
線上報名,圖書館,永續書旅：專題演講： 「原民書香．希望禮讚」,2025.04.23(三) 下午 12:00 ~ 2025.04.23(三) 下午 02:00,圖書館活力閱讀區,2025.03.26(三) ~ 2025.04.23(三) 線上報名,已報名人數：53 名額限制：36 候補人數：20,2 通識課程(課程時數) General Course,04優質教育,無,持續學習,14381
線上報名,學務處,1132 駐宿夜談 Night talk in dormitory (限住宿生報名 Registration is limited to dormitory students) 1,2025.04.23(三) 下午 06:30 ~ 2025.04.23(三) 下午 09:30,R70102,2025.04.02(三) ~ 2025.04.17(四) 報名已截止,已報名人數：80 名額限制：80,3 大學適應(課程時數) University Adaption,99以上皆無相關,無,無,14378
線上報名,學務處,1132 駐宿夜談 Night talk in dormitory (限住宿生報名 Registration is limited to dormitory students) 2,2025.05.07(三) 下午 06:30 ~ 2025.05.07(三) 下午 09:30,R70102,2025.04.02(三) ~ 2025.04.18(五) 名額已滿,已報名人數：80 名額限制：80,3 大學適應(課程時數) University Adaption,99以上皆無相關,無,無,14366
線上報名,社會暨政策科學學系,社政系「訪談資料的軟體應用與論文撰述」課堂演講。114/05/01（四）10:00-12:00~R5003教室。 開放10名~可認列職涯發展633,2025.05.01(四) 上午 10:00 ~ 2025.05.01(四) 下午 12:00,R5003,2025.04.14(一) ~ 2025.04.28(一) 線上報名,已報名人數：1 名額限制：10,無,04優質教育,無,無,14351
線上報名,社會暨政策科學學系,社政系「質性訪談的準備工作與文本彙整」課堂演講。114/04/24（四）10:00-12:00~R5003教室。 開放10名~可認列職涯發展633,2025.04.24(四) 上午 10:00 ~ 2025.04.24(四) 下午 12:00,R5003,2025.03.28(五) ~ 2025.04.21(一) 線上報名,已報名人數：5 名額限制：10,無,04優質教育,無,無,14350
線上報名,學務處,【113-2國際就業論壇】（可擇一認列多元/服務時數、管院/社政職涯點數）,2025.04.30(三) 下午 12:00 ~ 2025.04.30(三) 下午 02:00,有庠廳,2025.03.25(二) ~ 2025.04.24(四) 線上報名,已報名人數：252 名額限制：230 候補人數：2,2 生涯就業(課程時數) Career Planning,04優質教育,2小時,"溝通表達,持續學習,人際互動,團隊合作,問題解決,工作責任及紀律",14349
線上報名,管理學院學士英語專班,【管院職涯點數】管院英專-創客基地企業參訪 Makerbase Business Visit Activity Registration,2025.06.18(三) 下午 12:00 ~ 2025.06.18(三) 下午 04:00,創客基地,2025.03.25(二) ~ 2025.04.30(三) 線上報名,已報名人數：18 名額限制：30 候補人數：0,無,99以上皆無相關,無,無,14348
線上報名,學務處,113-2資源教室及輔導義工期中服務學習暨文化參訪(限輔導義工及資源教室學生),2025.04.27(日) 上午 08:00 ~ 2025.04.27(日) 下午 05:00,老鍋農莊、17里海岸線,2025.03.24(一) ~ 2025.04.11(五) 報名已截止,已報名人數：17 名額限制：26,6 生活勵志(課程時數) Life Inspiration,無,無,"溝通表達,團隊合作,工作責任及紀律",14327
線上報名,服務學習,Arise & Shine志願服務：4/25寶貝潛能發展中心,2025.04.25(五) 上午 09:00 ~ 2025.04.25(五) 下午 12:00,集合地點：生命泉關懷協會(320桃園市中壢區興仁路二段67巷28號),2025.03.21(五) ~ 2025.04.18(五) 線上報名,已報名人數：8 名額限制：6 候補人數：3,3 社區服務(活動時數) Community Service,04優質教育,無,無,14318
線上報名,學務處,【提升新鮮人就業力講座(三) -從探索到定位：步入職場的迷惘 × 穩健前行的智慧】（可擇一認列相關時數）,2025.04.24(四) 下午 12:00 ~ 2025.04.24(四) 下午 02:00,R70101,2025.03.21(五) ~ 2025.04.21(一) 線上報名,已報名人數：100 名額限制：100 候補人數：0,2 學務課程(課程時數) Student Affair Course,04優質教育,2小時,"溝通表達,持續學習,人際互動,團隊合作,問題解決,工作責任及紀律",14313
線上報名,電機通訊學院,【EMI增能講座/on line】2025.05.07 Creating New Perspectives in EMI Teaching with ChatGPT/以ChatGPT創造EMI教學新思維(限教職員及研究生報名),2025.05.07(三) 下午 12:10 ~ 2025.05.07(三) 下午 02:00,on line,2025.03.24(一) ~ 2025.04.30(三) 線上報名,已報名人數：14 名額限制：100,無,99以上皆無相關,無,無,14312
線上報名,元智大學學生會,憲法法庭參訪｜2025 人權推廣計劃,2025.05.07(三) 下午 12:30 ~ 2025.05.07(三) 下午 06:30,司法院憲法法庭,2025.04.01(二) ~ 2025.04.25(五) 線上報名,已報名人數：26 名額限制：35,3 通識課程(課程時數) General Course,"04優質教育,10減少不平等,16和平、正義及健全制度",無,無,14310
線上報名,電機通訊學院,【已額滿】4/23(三) 亞馬遜AWS網路服務公司參訪活動,2025.04.23(三) 下午 12:00 ~ 2025.04.23(三) 下午 05:30,AWS台灣辦公室,2025.03.10(一) ~ 2025.03.19(三) 報名已截止,已報名人數：63 名額限制：63,2 學務課程(課程時數) Student Affair Course,99以上皆無相關,無,無,14300
線上報名,管理學院,4/29(二) EMI TALK｜管理碩士生｜珍妮來自越南 Jennie from Vietnam,2025.04.29(二) 下午 05:10 ~ 2025.04.29(二) 下午 06:10,60208,2025.03.20(四) ~ 2025.04.28(一) 線上報名,已報名人數：59 名額限制：30 候補人數：29,無,04優質教育,無,無,14297
線上報名,管理學院,4/24(四) EMI TALK｜管理博士生｜梅米娜來自甘比亞Aminah from Gambia,2025.04.24(四) 下午 05:10 ~ 2025.04.24(四) 下午 06:10,60208,2025.03.20(四) ~ 2025.04.23(三) 線上報名,已報名人數：66 名額限制：30 候補人數：36,無,04優質教育,無,無,14296
線上報名,管理學院,4/23(三) EMI TALK｜管理博士生｜曉鳳來自印度Shikha from India,2025.04.23(三) 下午 05:10 ~ 2025.04.23(三) 下午 06:10,60208,2025.03.20(四) ~ 2025.04.22(二) 線上報名,已報名人數：61 名額限制：30 候補人數：31,無,04優質教育,無,無,14295
線上報名,管理學院,4/21(一) EMI TALK｜管理博士生｜阮文信來自越南Nguyen Huu Tin from Vietnam,2025.04.21(一) 下午 05:10 ~ 2025.04.21(一) 下午 06:10,60208,2025.03.20(四) ~ 2025.04.20(日) 線上報名,已報名人數：47 名額限制：30 候補人數：18,無,04優質教育,無,無,14294
線上報名,學務處,【服務學習及633 9小時】04/15-0520 每週二晚上 --《吉卜力心視界》—從動畫映照內心，探索自我與人際團體,2025.04.15(二) 下午 07:00 ~ 2025.05.20(二) 下午 09:00,8504,2025.03.20(四) ~ 2025.04.11(五) 報名已截止,已報名人數：11 名額限制：9 候補人數：4,9 學務課程(課程時數) Student Affair Course,無,無,無,14292
線上報名,元智大學學生會,《認勞不任怨》勞工權益講座,2025.04.29(二) 下午 06:30 ~ 2025.04.29(二) 下午 08:30,70101,2025.04.15(二) ~ 2025.04.25(五) 線上報名,已報名人數：74 名額限制：100,2 通識課程(課程時數) General Course,"04優質教育,10減少不平等,16和平、正義及健全制度",無,無,14288
線上報名,資訊工程學系,(18)協助資工系申請入學相關事宜(限資工系學生),2025.05.16(五) 上午 12:00 ~ 2025.05.19(一) 上午 12:00,一館,2025.03.18(二) ~ 2025.05.31(六) 線上報名,已報名人數：22 名額限制：100,18 專業服務(活動時數) Professional Service,99以上皆無相關,20小時,"溝通表達,人際互動,團隊合作,問題解決,工作責任及紀律",14271
線上報名,軍訓室,僑生愛護環境淨灘活動(限本校僑生參加，需收活動費200元),2025.05.17(六) 上午 08:00 ~ 2025.05.17(六) 下午 05:00,野柳地質公園,2025.03.14(五) ~ 2025.04.30(三) 線上報名,已報名人數：7 名額限制：10,8 社區服務(活動時數) Community Service,"04優質教育,11永續城鄉,14保育海洋生態",無,無,14251
線上報名,國際語言文化中心,"歡迎報名參加國際語言文化中心114/4/21(一), 12:00~14:00,1132學期文天瑞老師英語小聚活動 Welcome to Join Trey’s English Corner",2025.04.21(一) 下午 12:10 ~ 2025.04.21(一) 下午 02:10,R70105,2025.03.12(三) ~ 2025.04.17(四) 報名已截止,已報名人數：45 名額限制：45,無,04優質教育,無,無,14241
線上報名,國際語言文化中心,"歡迎報名參加國際語言文化中心114/5/14(三)12:10-13:10,1132學期安琪拉老師英語小聚活動 Welcome to Join Angela’s English Corner",2025.05.14(三) 下午 12:10 ~ 2025.05.14(三) 下午 01:10,R70205,2025.03.12(三) ~ 2025.05.10(六) 名額已滿,已報名人數：45 名額限制：45,無,04優質教育,無,無,14240
線上報名,學務處,邀請即將畢業的國際生至台灣電路板協會參與在臺國際生的留用說明會暨媒合會Invitation to International Students About to Graduate to Attend the Taiwan Printed Circuit Association (TPCA) Career & Networking Fair,2025.04.29(二) 下午 02:00 ~ 2025.04.29(二) 下午 05:00,TPCA會館.TPCA Building,2025.03.12(三) ~ 2025.04.07(一) 報名已截止,已報名人數：46 名額限制：80 候補人數：0,無,"10減少不平等,17多元夥伴關係",無,無,14239
線上報名,軍訓室,114年「畢業典禮服務志工」服務學習活動【限1~3年級同學參加】,2025.05.23(五) 上午 08:00 ~ 2025.05.24(六) 下午 09:00,五館前(畢業典禮會場),2025.03.13(四) ~ 2025.04.30(三) 線上報名,已報名人數：60 名額限制：30 候補人數：31,18 愛校服務(活動時數) Campus-loving Service,"02消除飢餓,05性別平權,10減少不平等,17多元夥伴關係",無,"溝通表達,持續學習,人際互動,團隊合作,問題解決,工作責任及紀律",14237
線上報名,元智大學學生會,當人權遇到數位時代，開放會不會是一個解方？｜數位人權講座,2025.04.23(三) 下午 06:30 ~ 2025.04.23(三) 下午 08:30,R70101,2025.04.09(三) ~ 2025.04.13(日) 報名已截止,已報名人數：42 名額限制：85,2 專業知能(課程時數) Professional Knowledge,"04優質教育,10減少不平等,16和平、正義及健全制度",無,無,14218
線上報名,工業工程與管理學系,113-2 弦樂社興仁國小社區結盟（提供已先向本社報名的同學參加）,2025.03.10(一) 上午 07:30 ~ 2025.05.19(一) 上午 08:30,興仁國小,2025.03.10(一) ~ 2025.05.19(一) 線上報名,已報名人數：11 名額限制：12,8 社區服務(活動時數) Community Service,無,無,無,14212
線上報名,學務處,【113-2國際就業故事館-第三場次：軟體科技業產品經理 - 台灣與歐洲留學工作機會與挑戰分享】（擇一認列相關時數）,2025.05.07(三) 下午 12:00 ~ 2025.05.07(三) 下午 02:00,R70101,2025.03.10(一) ~ 2025.05.01(四) 線上報名,已報名人數：209 名額限制：100 候補人數：0,2 學務課程(課程時數) Student Affair Course,04優質教育,2小時,"溝通表達,持續學習,人際互動,團隊合作,問題解決",14210
線上報名,電機通訊學院,【4/29(二)EMI英文電影日】看電影領餐券，精進英文輕鬆學習！,2025.04.29(二) 下午 12:10 ~ 2025.04.29(二) 下午 01:00,70102教室,2025.02.14(五) ~ 2025.04.28(一) 名額已滿,已報名人數：110 名額限制：110,無,99以上皆無相關,無,無,14194
線上報名,電機通訊學院,【4/22(二)EMI英文電影日】看電影領餐券，精進英文輕鬆學習！,2025.04.22(二) 下午 12:10 ~ 2025.04.22(二) 下午 01:00,70102教室,2025.02.14(五) ~ 2025.04.21(一) 名額已滿,已報名人數：110 名額限制：110,無,99以上皆無相關,無,無,14193
線上報名,護理學系,智慧病房參訪( 聯新國際醫院),2025.05.14(三) 下午 01:30 ~ 2025.05.14(三) 下午 04:30,聯新國際醫院,2025.03.06(四) ~ 2025.03.31(一) 報名已截止,已報名人數：2 名額限制：15,無,"03健康與福祉,04優質教育,09工業化、創新及基礎建設",無,無,14174
線上報名,護理學系,高齡照護暨遠距照護之資通訊科技應用,2025.05.07(三) 下午 02:00 ~ 2025.05.07(三) 下午 04:00,71006,2025.03.06(四) ~ 2025.05.06(二) 線上報名,已報名人數：13 名額限制：50,無,"03健康與福祉,04優質教育",無,無,14172
線上報名,護理學系,護理科技的實際應用,2025.04.23(三) 下午 02:00 ~ 2025.04.23(三) 下午 04:00,R5002,2025.03.06(四) ~ 2025.04.22(二) 線上報名,已報名人數：10 名額限制：50,無,"03健康與福祉,04優質教育",無,無,14171
線上報名,通識教學部,1132客家與台灣課程校外教學報名(收及保險資料用),2025.03.16(日) 下午 01:00 ~ 2025.05.04(日) 下午 05:00,霄裡、富岡、中壢,2025.03.05(三) ~ 2025.03.19(三) 報名已截止,已報名人數：55 名額限制：100,無,04優質教育,無,無,14159
線上報名,學務處,CIAO CIAO 街舞文化傳承星艦-廣興國小號_社區 結盟專案(限已報名學生參與),2025.04.30(三) 下午 02:00 ~ 2025.04.30(三) 下午 05:00,廣興國小,2025.03.05(三) ~ 2025.04.16(三) 報名已截止,已報名人數：10 名額限制：12,3 社區服務(活動時數) Community Service,"04優質教育,11永續城鄉",無,無,14155
線上報名,學務處,CIAO CIAO 街舞文化傳承星艦-廣興國小號_社區 結盟專案(限已報名學生參與),2025.04.23(三) 下午 02:00 ~ 2025.04.23(三) 下午 05:00,廣興國小,2025.03.05(三) ~ 2025.04.16(三) 報名已截止,已報名人數：2 名額限制：12,3 社區服務(活動時數) Community Service,"04優質教育,11永續城鄉",無,無,14152
線上報名,學務處,"UCAN Assessment and Explanation Workshop,April 21國際生UCAN評量解測說明會4/21",2025.04.21(一) 下午 01:10 ~ 2025.04.21(一) 下午 03:00,R60105,2025.03.03(一) ~ 2025.04.14(一) 報名已截止,已報名人數：31 名額限制：100 候補人數：0,2 生涯就業(課程時數) Career Planning,10減少不平等,無,"溝通表達,人際互動",14126
線上報名,全球事務處,【Only for International Students】20250420 Beach Cleanup & Xpark Event：Activity Hours,2025.04.20(日) 上午 07:30 ~ 2025.04.20(日) 下午 06:00,觀音淨攤,2025.03.01(六) ~ 2025.03.17(一) 報名已截止,已報名人數：34 名額限制：35,5 勞作服務(活動時數) Labor Service,14保育海洋生態,無,無,14096
線上報名,全球事務處,【Only for International Students】20250420 Beach Cleanup & Xpark Event：course learning hours,2025.04.20(日) 上午 07:30 ~ 2025.04.20(日) 下午 06:00,觀音淨攤,2025.03.01(六) ~ 2025.03.17(一) 報名已截止,已報名人數：34 名額限制：35,5 專業課程(課程時數) Professional Course,14保育海洋生態,無,無,14087
線上報名,通識教學部,1132島嶼、族群與文化5/3下午場報名,2025.05.03(六) 下午 01:00 ~ 2025.05.03(六) 下午 03:30,中壢老城區,2025.03.03(一) ~ 2025.03.10(一) 報名已截止,已報名人數：11 名額限制：17,無,"04優質教育,11永續城鄉,12責任消費及生產",無,無,14082
線上報名,通識教學部,1132島嶼、族群與文化5/3上午場報名,2025.05.03(六) 上午 09:30 ~ 2025.05.03(六) 下午 12:00,中壢老街溪,2025.03.03(一) ~ 2025.03.10(一) 報名已截止,已報名人數：15 名額限制：15,無,"04優質教育,11永續城鄉,12責任消費及生產",無,無,14080
線上報名,通識教學部,1132在地文化導覽校外教學5/3下午場報名,2025.05.03(六) 下午 01:00 ~ 2025.05.03(六) 下午 03:30,中壢老城區,2025.03.03(一) ~ 2025.03.10(一) 報名已截止,已報名人數：15 名額限制：17,無,"04優質教育,11永續城鄉,12責任消費及生產",無,無,14073
線上報名,通識教學部,1132在地文化導覽校外教學5/3上午場報名,2025.05.03(六) 上午 09:30 ~ 2025.05.03(六) 下午 12:00,中壢老城區,2025.03.03(一) ~ 2025.03.10(一) 報名已截止,已報名人數：15 名額限制：15,無,"04優質教育,11永續城鄉,12責任消費及生產",無,無,14072
線上報名,軍訓室,114年交通安全教育宣導活動—交通事故處理演示 Traffic safety education and publicity activities,2025.04.23(三) 下午 12:00 ~ 2025.04.23(三) 下午 02:00,2008教室,2025.02.26(三) ~ 2025.04.22(二) 名額已滿,已報名人數：80 名額限制：80,2 愛校服務(活動時數) Campus-loving Service,"04優質教育,11永續城鄉,16和平、正義及健全制度",無,無,14051
