類型,專頁,活動名稱,活動日期,活動地點,報名日期,報名狀態,服務學習,SDGs,多元學習護照時數,UCAN共通職能,ActID
線上報名,體育室,113學年度校長羽球競賽服務學習(限羽球代表隊工作人員)113 Academic Year Principals Cup Badminton competition (limit Varsity staff),2025.05.12(一) 下午 06:00 ~ 2025.05.12(一) 下午 10:00,體育館,2025.04.17(四) ~ 2025.05.25(日) 線上報名,已報名人數：4 名額限制：80,4 專業服務(活動時數) Professional Service,03健康與福祉,無,無,14600
線上報名,學務處,招募工讀生、雙語工讀生協助4/30講座,2025.04.21(一) 下午 12:00 ~ 2025.04.21(一) 下午 04:00,R70109,2025.04.16(三) ~ 2025.04.17(四) 報名已截止,已報名人數：2 名額限制：2 候補人數：0,無,10減少不平等,無,無,14597
線上報名,圖書館,Endnote書目管理線上課程,2025.05.07(三) 下午 02:00 ~ 2025.05.07(三) 下午 04:00,線上課程,2025.04.17(四) ~ 2025.05.05(一) 線上報名,已報名人數：23 名額限制：200 候補人數：0,2 通識課程(課程時數) General Course,99以上皆無相關,2小時,"持續學習,資訊科技應用",14589
線上報名,圖書資訊服務處,資安探索系列講座4-阻斷服務式/分散式阻斷服務式(DoS/DDoS)攻擊介紹,2025.05.07(三) 下午 01:10 ~ 2025.05.07(三) 下午 04:00,5002電腦教室,2025.04.17(四) ~ 2025.05.05(一) 線上報名,已報名人數：1 名額限制：80,無,"04優質教育,09工業化、創新及基礎建設",無,無,14588
線上報名,管理學院,教職員_1132_週五【Relax身心靈平衡社團】歡迎一起來Relax,2025.05.02(五) 下午 12:00 ~ 2025.05.02(五) 下午 01:00,體育館一樓舞蹈教室,2025.04.16(三) ~ 2025.05.09(五) 線上報名,已報名人數：16 名額限制：25,無,03健康與福祉,無,無,14587
線上報名,學務處,超級金頭腦大賽(欲參加者，請填寫google表單，謝謝),2025.05.07(三) 下午 06:30 ~ 2025.05.07(三) 下午 08:00,R70204,2025.04.16(三) ~ 2025.05.06(二) 名額已滿,已報名人數：10 名額限制：10,無,無,無,無,14586
線上報名,電機工程學系,114年大學甄選家長訪校日參訪實驗室介紹人員訓練課程活動(電機系丙組),2025.04.17(四) 上午 12:00 ~ 2025.05.17(六) 下午 04:00,70401,2025.04.16(三) ~ 2025.04.30(三) 線上報名,已報名人數：2 名額限制：10 候補人數：0,12 專業課程(課程時數) Professional Course,99以上皆無相關,無,無,14583
線上報名,學務處,【All-English Gender Equal Lecture｜性平講座】5/8（四） Let’s talk about the issues of gender equality on campus｜聊聊校園中的性平互動,2025.05.08(四) 上午 06:30 ~ 2025.05.08(四) 下午 08:30,70102,2025.04.16(三) ~ 2025.05.08(四) 線上報名,已報名人數：50 名額限制：90 候補人數：0,2 學務課程(課程時數) Student Affair Course,99以上皆無相關,2小時,"溝通表達,持續學習,人際互動",14580
線上報名,學務處,113-2仁愛之家長者關懷活動行前座談（限快樂學習營專案成員）,2025.04.23(三) 下午 06:10 ~ 2025.04.23(三) 下午 08:10,社會創新基地,2025.04.16(三) ~ 2025.04.22(二) 線上報名,已報名人數：16 名額限制：28,無,"04優質教育,11永續城鄉",2小時,"溝通表達,團隊合作,問題解決,工作責任及紀律",14579
線上報名,電機工程學系乙組,電機系（乙組）大一「心鮮人經營學」班級輔導活動,2025.05.08(四) 下午 12:00 ~ 2025.05.08(四) 下午 02:00,70102R,2025.04.16(三) ~ 2025.05.05(一) 線上報名,已報名人數：53 名額限制：120,2 專業知能(課程時數) Professional Knowledge,99以上皆無相關,無,無,14577
線上報名,學務處,社會議題講座_從理解出發-對街友的真實生活（全程參與可列多元時數2小時）,2025.04.23(三) 下午 12:00 ~ 2025.04.23(三) 下午 02:00,70101教室,2025.04.16(三) ~ 2025.04.22(二) 線上報名,已報名人數：34 名額限制：80,無,"01終結貧窮,04優質教育,11永續城鄉",2小時,"持續學習,問題解決",14576
線上報名,學務處,招募雙語工讀生協助4/21講座,2025.04.21(一) 下午 12:00 ~ 2025.04.21(一) 下午 04:00,R60105,2025.04.16(三) ~ 2025.04.17(四) 報名已截止,已報名人數：0 名額限制：2 候補人數：0,無,10減少不平等,無,無,14571
線上報名,環境保護暨安全衛生中心,114/05/26 一般安全衛生教育訓練-消防安全法令介紹暨逃生災害防救訓練,2025.05.26(一) 下午 02:00 ~ 2025.05.26(一) 下午 04:00,七館70301教室,2025.04.15(二) ~ 2025.05.16(五) 線上報名,已報名人數：38 名額限制：60,無,"04優質教育,17多元夥伴關係",無,無,14569
線上報名,環境保護暨安全衛生中心,114/05/02 一般安全衛生教育訓練-感電危害預防,2025.05.02(五) 下午 01:30 ~ 2025.05.02(五) 下午 03:30,三館3112教室,2025.04.15(二) ~ 2025.04.25(五) 線上報名,已報名人數：31 名額限制：60,無,"04優質教育,17多元夥伴關係",無,無,14568
線上報名,工業工程與管理學系,114大學申請入學面試(課程，僅限已向系上登記協助者）,2025.05.17(六) 上午 07:00 ~ 2025.05.18(日) 下午 05:00,元智校內,2025.04.25(五) ~ 2025.05.17(六) 報名尚未開始,已報名人數：0 名額限制：35,18 大學適應(課程時數) University Adaption,99以上皆無相關,無,無,14567
線上報名,工業工程與管理學系,114大學申請入學面試(活動，僅限已向系上登記協助者）,2025.05.17(六) 上午 07:00 ~ 2025.05.18(日) 下午 05:00,元智校內,2025.04.25(五) ~ 2025.05.17(六) 報名尚未開始,已報名人數：0 名額限制：35,18 愛校服務(活動時數) Campus-loving Service,99以上皆無相關,無,無,14565
